match_id,match_number,stage,home_team,home_code,home_flag,away_team,away_code,away_flag,group,date,home_score_real,away_score_real,result_real,shootout_winner,pred_home_win,pred_draw,pred_away_win
1,1,Groupe A,Mexique,MEX,🇲🇽,Afrique du Sud,RSA,🇿🇦,A,Jeudi 11 juin (Mexico),,,,,,,
2,2,Groupe A,République de Corée,KOR,🇰🇷,Tchéquie,CZE,🇨🇿,A,Vendredi 12 juin (Guadalajara),,,,,,,
3,3,Groupe B,Canada,CAN,🇨🇦,Bosnie-Herzégovine,BIH,🇧🇦,B,Vendredi 12 juin (Toronto),,,,,,,
4,4,Groupe D,États-Unis,USA,🇺🇸,Paraguay,PAR,🇵🇾,D,Samedi 13 juin (Los Angeles),,,,,,,
5,5,Groupe B,Qatar,QAT,🇶🇦,Suisse,SUI,🇨🇭,B,Samedi 13 juin (San Francisco),,,,,,,
6,6,Groupe C,Brésil,BRA,🇧🇷,Maroc,MAR,🇲🇦,C,Dimanche 14 juin (New York),,,,,,,
7,7,Groupe C,Haïti,HAI,🇭🇹,Écosse,SCO,🏴󠁧󠁢󠁳󠁣󠁴󠁿,C,Dimanche 14 juin (Boston),,,,,,,
8,8,Groupe D,Australie,AUS,🇦🇺,Turquie,TUR,🇹🇷,D,Dimanche 14 juin (Vancouver),,,,,,,
9,9,Groupe E,Allemagne,GER,🇩🇪,Curaçao,CUR,🇨🇼,E,Dimanche 14 juin (Houston),,,,,,,
10,10,Groupe F,Pays-Bas,NED,🇳🇱,Japon,JPN,🇯🇵,F,Dimanche 14 juin (Dallas),,,,,,,
11,11,Groupe E,Côte d’Ivoire,CIV,🇨🇮,Équateur,ECU,🇪🇨,E,Lundi 15 juin (Philadelphie),,,,,,,
12,12,Groupe F,Suède,SWE,🇸🇪,Tunisie,TUN,🇹🇳,F,Lundi 15 juin (Monterrey),,,,,,,
13,13,Groupe H,Espagne,ESP,🇪🇸,Cap Vert,CPV,🇨🇻,H,Lundi 15 juin (Atlanta),,,,,,,
14,14,Groupe G,Belgique,BEL,🇧🇪,Égypte,EGY,🇪🇬,G,Lundi 15 juin (Seattle),,,,,,,
15,15,Groupe H,Arabie Saoudite,KSA,🇸🇦,Uruguay,URU,🇺🇾,H,Mardi 16 juin (Miami),,,,,,,
16,16,Groupe G,Iran,IRN,🇮🇷,Nouvelle-Zélande,NZL,🇳🇿,G,Mardi 16 juin (Los Angeles),,,,,,,
17,17,Groupe I,France,FRA,🇫🇷,Sénégal,SEN,🇸🇳,I,Mardi 16 juin (21 heures),,,,,,,
18,18,Groupe I,Irak,IRQ,🇮🇶,Norvège,NOR,🇳🇴,I,Mercredi 17 juin (minuit),,,,,,,
19,19,Groupe J,Argentine,ARG,🇦🇷,Algérie,ALG,🇩🇿,J,Mercredi 17 juin (3 heures),,,,,,,
20,20,Groupe J,Autriche,AUT,🇦🇹,Jordanie,JOR,🇯🇴,J,Mercredi 17 juin (6 heures),,,,,,,
21,21,Groupe K,Portugal,POR,🇵🇹,RD Congo,COD,🇨🇩,K,Mercredi 17 juin (19 heures),,,,,,,
22,22,Groupe L,Angleterre,ENG,🏴󠁧󠁢󠁥󠁮󠁧󠁿,Croatie,CRO,🇭🇷,L,Mercredi 17 juin (22 heures),,,,,,,
23,23,Groupe L,Ghana,GHA,🇬🇭,Panama,PAN,🇵🇦,L,Jeudi 18 juin (1 heure),,,,,,,
24,24,Groupe K,Ouzbékistan,UZB,🇺🇿,Colombie,COL,🇨🇴,K,Jeudi 18 juin (4 heures),,,,,,,
25,25,Groupe A,Tchéquie,CZE,🇨🇿,Afrique du Sud,RSA,🇿🇦,A,Jeudi 18 juin (18 heures),,,,,,,
26,26,Groupe B,Suisse,SUI,🇨🇭,Bosnie-Herzégovine,BIH,🇧🇦,B,Jeudi 18 juin (21 heures),,,,,,,
27,27,Groupe B,Canada,CAN,🇨🇦,Qatar,QAT,🇶🇦,B,Vendredi 19 juin (minuit),,,,,,,
28,28,Groupe A,Mexique,MEX,🇲🇽,République de Corée,KOR,🇰🇷,A,Vendredi 19 juin (3 heures),,,,,,,
29,29,Groupe D,États-Unis,USA,🇺🇸,Australie,AUS,🇦🇺,D,Vendredi 19 juin (21 heures),,,,,,,
30,30,Groupe C,Écosse,SCO,🏴󠁧󠁢󠁳󠁣󠁴󠁿,Maroc,MAR,🇲🇦,C,Samedi 20 juin (minuit),,,,,,,
31,31,Groupe C,Brésil,BRA,🇧🇷,Haïti,HAI,🇭🇹,C,Samedi 20 juin (2h30),,,,,,,
32,32,Groupe D,Turquie,TUR,🇹🇷,Paraguay,PAR,🇵🇾,D,Samedi 20 juin (5 heures),,,,,,,
33,33,Groupe F,Pays-Bas,NED,🇳🇱,Suède,SWE,🇸🇪,F,Samedi 20 juin (19 heures),,,,,,,
34,34,Groupe E,Allemagne,GER,🇩🇪,Côte d’Ivoire,CIV,🇨🇮,E,Samedi 20 juin (22 heures),,,,,,,
35,35,Groupe E,Équateur,ECU,🇪🇨,Curaçao,CUR,🇨🇼,E,Dimanche 21 juin (2 heures),,,,,,,
36,36,Groupe F,Tunisie,TUN,🇹🇳,Japon,JPN,🇯🇵,F,Dimanche 21 juin (6 heures),,,,,,,
37,37,Groupe H,Espagne,ESP,🇪🇸,Arabie Saoudite,KSA,🇸🇦,H,Dimanche 21 juin (18 heures),,,,,,,
38,38,Groupe G,Belgique,BEL,🇧🇪,Iran,IRN,🇮🇷,G,Dimanche 21 juin (21 heures),,,,,,,
